FTR,HomeTeam,AwayTeam,B365H,B365D,B365A
A,Stoke,Bournemouth,2.14,3.5,3.6
A,Swansea,Leicester,2.79,3.25,2.75
A,Everton,Arsenal,3.79,3.6,2.04
H,Tottenham,Liverpool,2.25,3.5,3.39
H,Arsenal,Swansea,1.25,7,12
A,Bournemouth,Chelsea,6,4.2,1.61
D,Crystal Palace,West Ham,2.39,3.29,3.29
H,Liverpool,Huddersfield,1.25,6.75,13
H,Man United,Tottenham,2.14,3.39,3.79
A,Watford,Stoke,2.04,3.6,3.79
A,West Brom,Man City,11,6.5,1.28
D,Brighton,Southampton,3.29,3.2,2.45
H,Leicester,Everton,2.14,3.39,3.75
H,Burnley,Newcastle,2.89,3.2,2.7
H,Huddersfield,West Brom,2.79,3,3
A,Newcastle,Bournemouth,2,3.5,4.2
A,Southampton,Burnley,1.66,3.75,6.5
D,Stoke,Leicester,2.7,3.29,2.87
A,Swansea,Brighton,2.39,3.2,3.39
A,West Ham,Liverpool,5.25,4.33,1.66
H,Chelsea,Man United,2.5,3.2,3.2
H,Everton,Watford,2.2,3.39,3.6
H,Man City,Arsenal,1.39,5.5,7.5
H,Tottenham,Crystal Palace,1.28,6,12
H,Arsenal,Tottenham,2.5,3.6,2.89
H,Bournemouth,Huddersfield,1.83,3.5,5.25
H,Burnley,Swansea,2.14,3.2,4
D,Crystal Palace,Everton,2.39,3.25,3.29
A,Leicester,Man City,9.5,5.75,1.33
H,Liverpool,Southampton,1.39,5,9
H,Man United,Newcastle,1.28,5.75,13
A,West Brom,Chelsea,6.5,4,1.61
H,Watford,West Ham,2.1,3.5,3.75
D,Brighton,Stoke,2.39,3.2,3.39
D,West Ham,Leicester,2.7,3.39,2.75
H,Crystal Palace,Stoke,2.04,3.5,4
D,Liverpool,Chelsea,2.14,3.6,3.5
H,Man United,Brighton,1.19,7,19
A,Newcastle,Watford,2.2,3.5,3.5
D,Swansea,Bournemouth,2.79,3.25,2.79
D,Tottenham,West Brom,1.25,6,16
A,Burnley,Arsenal,6.5,4.5,1.53
A,Huddersfield,Man City,17,8,1.18
H,Southampton,Everton,1.9,3.39,4.75
D,Brighton,Crystal Palace,2.7,3.1,3
H,Leicester,Tottenham,5,3.89,1.75
A,Watford,Man United,5.25,3.89,1.72
D,West Brom,Newcastle,2.37,3.1,3.5
H,Arsenal,Huddersfield,1.19,7.5,17
A,Bournemouth,Burnley,2,3.39,4.33
H,Chelsea,Swansea,1.18,8,17
H,Everton,West Ham,2.37,3.29,3.29
H,Man City,Southampton,1.19,8,15
A,Stoke,Liverpool,6.5,4.5,1.55
A,Arsenal,Man United,2.5,3.39,3
A,Brighton,Liverpool,7.5,4.5,1.5
H,Chelsea,Newcastle,1.25,6.5,15
H,Everton,Huddersfield,1.72,3.79,5.5
H,Leicester,Burnley,1.83,3.6,5
H,Stoke,Swansea,1.95,3.39,4.5
D,Watford,Tottenham,5,4,1.72
D,West Brom,Crystal Palace,2.5,3.2,3.2
D,Bournemouth,Southampton,2.89,3.25,2.39
H,Man City,West Ham,1.08,11,21
H,Burnley,Watford,2.6,3.25,3
D,Crystal Palace,Bournemouth,2.04,3.5,4
H,Huddersfield,Brighton,2.7,3.1,3
A,Newcastle,Leicester,2.62,3.29,2.89
H,Swansea,West Brom,2.7,3.1,3
H,Tottenham,Stoke,1.28,6.5,11
H,West Ham,Chelsea,7.5,4.5,1.5
D,Liverpool,Everton,1.3,6,11
A,Man United,Man City,3.39,3.5,2.25
D,Southampton,Arsenal,4,3.75,1.95
H,Burnley,Stoke,2.29,3.2,3.6
H,Crystal Palace,Watford,2.29,3.5,3.25
A,Huddersfield,Chelsea,9,4.5,1.44
D,Liverpool,West Brom,1.22,7,15
H,Man United,Bournemouth,1.28,6,12
A,Newcastle,Everton,2.39,3.29,3.25
A,Southampton,Leicester,2.1,3.39,3.89
A,Swansea,Man City,15,6.5,1.25
H,Tottenham,Brighton,1.25,6.5,15
D,West Ham,Arsenal,5.25,4.2,1.66
H,Arsenal,Newcastle,1.25,6.5,14
D,Brighton,Burnley,2.62,3,3.2
H,Chelsea,Southampton,1.39,5,9
A,Leicester,Crystal Palace,1.89,3.6,4.5
H,Man City,Tottenham,1.55,4.59,6
A,Stoke,West Ham,2.29,3.29,3.5
A,Watford,Huddersfield,1.8,3.75,5
A,Bournemouth,Liverpool,6.5,4.5,1.53
A,West Brom,Man United,6.5,4,1.6
H,Everton,Swansea,1.72,3.75,5.5
D,Arsenal,Liverpool,2.54,3.6,2.79
H,Brighton,Watford,2.62,3.2,3
A,Burnley,Tottenham,7,4.2,1.55
D,Everton,Chelsea,6,3.89,1.66
D,Leicester,Man United,4.5,3.6,1.9
H,Man City,Bournemouth,1.12,11,23
D,Southampton,Huddersfield,1.61,3.89,6.5
H,Stoke,West Brom,2.29,3.25,3.5
D,Swansea,Crystal Palace,3.29,3.2,2.45
A,West Ham,Newcastle,2.1,3.39,3.89
D,Bournemouth,West Ham,2.79,3.29,2.75
H,Chelsea,Brighton,1.19,7.5,17
D,Huddersfield,Stoke,2.5,3.2,3.2
H,Liverpool,Swansea,1.16,9,19
D,Man United,Burnley,1.25,6.5,15
H,Tottenham,Southampton,1.36,5.25,10
H,Watford,Leicester,2.54,3.5,2.87
D,West Brom,Everton,2.54,3.2,3.1
A,Newcastle,Man City,13,6.75,1.25
A,Crystal Palace,Arsenal,4.5,4,1.8
H,Bournemouth,Everton,2.37,3.29,3.29
H,Chelsea,Stoke,1.16,8.5,19
D,Huddersfield,Burnley,2.37,3.1,3.5
H,Liverpool,Leicester,1.3,6,11
D,Man United,Southampton,1.36,5.5,9
D,Newcastle,Brighton,2.14,3.2,4
A,Watford,Swansea,1.66,3.79,6
D,Crystal Palace,Man City,11,6.5,1.28
