FTR,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
H,Arsenal,Bournemouth,2,0,1.44,4.75,8
D,Crystal Palace,Swansea,0,0,2.1,3.4,4
A,Everton,Stoke,3,4,1.95,3.6,4.2
D,Man United,Chelsea,0,0,2.6,3.3,3
H,Norwich,Aston Villa,2,0,2.05,3.6,3.8
A,Watford,Tottenham,1,2,3.75,3.5,2.1
H,West Brom,Newcastle,1,0,2.2,3.25,3.75
H,West Ham,Southampton,2,1,3.6,3.4,2.2
D,Leicester,Man City,0,0,4.33,4,1.85
A,Sunderland,Liverpool,0,1,5.5,3.9,1.7
H,Arsenal,Newcastle,1,0,1.29,6.5,11
D,Leicester,Bournemouth,0,0,1.91,3.75,4.33
H,Man United,Swansea,2,1,1.55,4.2,7
H,Norwich,Southampton,1,0,3.2,3.4,2.4
H,Sunderland,Aston Villa,3,1,2.5,3.25,3.2
A,Watford,Man City,1,2,5,4,1.75
H,West Brom,Stoke,2,1,2.8,3.2,2.8
H,West Ham,Liverpool,2,0,4,3.5,2.05
A,Crystal Palace,Chelsea,0,3,3.8,3.5,2.1
D,Everton,Tottenham,1,1,2.8,3.5,2.63
H,Aston Villa,Crystal Palace,1,0,3.2,3.25,2.45
A,Bournemouth,West Ham,1,3,2,3.6,4
D,Newcastle,Man United,3,3,5,3.7,1.8
D,Chelsea,West Brom,2,2,1.44,4.5,9
D,Liverpool,Arsenal,3,3,2.88,3.4,2.6
D,Man City,Everton,0,0,1.53,4.75,6
H,Southampton,Watford,2,0,1.95,3.5,4.33
H,Stoke,Norwich,3,1,2.05,3.3,4.2
A,Swansea,Sunderland,2,4,1.8,3.6,5.25
A,Tottenham,Leicester,0,1,1.75,3.8,5.25
D,Aston Villa,Leicester,1,1,3.6,3.4,2.2
H,Bournemouth,Norwich,3,0,1.91,3.6,4.5
D,Chelsea,Everton,3,3,1.83,3.75,4.75
H,Man City,Crystal Palace,4,0,1.4,5.25,8.5
H,Newcastle,West Ham,2,1,2.5,3.4,3
H,Southampton,West Brom,3,0,1.73,3.75,5.5
H,Tottenham,Sunderland,4,1,1.36,5.25,9.5
A,Liverpool,Man United,0,1,2.3,3.25,3.5
D,Stoke,Arsenal,0,0,4.33,3.6,1.95
H,Swansea,Watford,1,0,2.38,3.25,3.4
A,Crystal Palace,Tottenham,1,3,3.6,3.5,2.15
H,Leicester,Stoke,3,0,2.1,3.5,3.8
A,Man United,Southampton,0,1,1.91,3.5,4.75
A,Norwich,Liverpool,4,5,4.33,3.5,1.95
D,Sunderland,Bournemouth,1,1,3,3.4,2.5
H,Watford,Newcastle,2,1,2.05,3.5,4
D,West Brom,Aston Villa,0,0,2.1,3.3,4
D,West Ham,Man City,2,2,5,4,1.73
A,Arsenal,Chelsea,0,1,2.1,3.5,3.9
A,Everton,Swansea,1,2,1.73,3.8,5.5
D,Arsenal,Southampton,0,0,1.75,3.75,5.25
A,Crystal Palace,Bournemouth,1,2,2.45,3.3,3.2
H,Leicester,Liverpool,2,0,2.63,3.4,2.88
H,Man United,Stoke,3,0,1.7,3.75,5.75
A,Norwich,Tottenham,0,3,4.5,3.75,1.85
A,Sunderland,Man City,0,1,8,4.75,1.45
D,West Brom,Swansea,1,1,2.63,3.1,3.1
H,West Ham,Aston Villa,2,0,1.91,3.5,4.75
H,Everton,Newcastle,3,0,1.65,4.2,5.5
D,Watford,Chelsea,0,0,4.33,3.5,1.95
H,Aston Villa,Norwich,2,0,2.45,3.2,3.3
D,Liverpool,Sunderland,2,2,1.44,4.75,8.5
A,Man City,Leicester,1,3,1.62,4.2,6
H,Newcastle,West Brom,1,0,2.15,3.4,3.8
H,Southampton,West Ham,1,0,1.73,3.8,5.5
A,Stoke,Everton,0,3,2.7,3.4,2.8
D,Swansea,Crystal Palace,1,1,2.25,3.3,3.6
H,Tottenham,Watford,1,0,1.5,4.33,8
A,Bournemouth,Arsenal,0,2,3.8,3.5,2.1
D,Chelsea,Man United,1,1,2.15,3.3,3.9
A,Bournemouth,Stoke,1,3,2.05,3.4,4.1
H,Chelsea,Newcastle,5,1,1.44,4.75,8
A,Crystal Palace,Watford,1,2,2.25,3.3,3.6
A,Everton,West Brom,0,1,1.53,4.2,7.5
D,Norwich,West Ham,2,2,2.38,3.4,3.25
H,Sunderland,Man United,2,1,5.25,3.75,1.75
A,Swansea,Southampton,0,1,3.2,3.25,2.5
H,Arsenal,Leicester,2,1,1.75,4,5
A,Aston Villa,Liverpool,0,6,4.75,3.6,1.85
A,Man City,Tottenham,1,2,2.1,3.75,3.6
H,Leicester,Norwich,1,0,1.5,4.33,6
A,Southampton,Chelsea,1,2,2.8,3.25,2.5
H,Stoke,Aston Villa,2,1,1.62,3.75,5.5
D,Watford,Bournemouth,0,0,2.38,3.25,3
H,West Brom,Crystal Palace,3,2,2.6,3.1,2.8
H,West Ham,Sunderland,1,0,1.8,3.5,4.5
H,Tottenham,Swansea,2,1,1.4,4.2,9
H,Man United,Arsenal,3,2,3,3.25,2.38
A,Aston Villa,Everton,1,3,4.5,3.6,1.91
H,Bournemouth,Southampton,2,0,2.9,3.25,2.7
D,Leicester,West Brom,2,2,1.73,3.8,5.5
A,Norwich,Chelsea,1,2,5.25,4,1.7
D,Sunderland,Crystal Palace,2,2,2.5,3.3,3.1
A,Arsenal,Swansea,1,2,1.36,5.25,10
H,Liverpool,Man City,3,0,2.63,3.4,2.88
H,Man United,Watford,1,0,1.67,3.8,6
H,Stoke,Newcastle,1,0,2,3.5,4.2
H,West Ham,Tottenham,1,0,4,3.6,2
D,Chelsea,Stoke,1,1,1.5,4.5,7.5
A,Everton,West Ham,2,3,1.73,4,5
H,Man City,Aston Villa,4,0,1.22,7,15
A,Newcastle,Bournemouth,1,3,2.63,3.4,2.88
D,Southampton,Sunderland,1,1,1.6,4,6.5
H,Swansea,Norwich,1,0,2.05,3.5,4
D,Tottenham,Arsenal,2,2,2.38,3.4,3.25
A,Watford,Leicester,0,1,3,3.4,2.55
A,Crystal Palace,Liverpool,1,2,3.8,3.5,2.1
H,West Brom,Man United,1,0,4.33,3.4,2
